date,alert_hours,year,month,weekday
2022-03-15,42,2022,3,Tuesday
2022-03-16,217,2022,3,Wednesday
2022-03-17,146,2022,3,Thursday
2022-03-18,145,2022,3,Friday
2022-03-19,110,2022,3,Saturday
2022-03-20,118,2022,3,Sunday
2022-03-21,241,2022,3,Monday
2022-03-22,291,2022,3,Tuesday
2022-03-23,133,2022,3,Wednesday
2022-03-24,136,2022,3,Thursday
2022-03-25,184,2022,3,Friday
2022-03-26,190,2022,3,Saturday
2022-03-27,112,2022,3,Sunday
2022-03-28,141,2022,3,Monday
2022-03-29,226,2022,3,Tuesday
2022-03-30,141,2022,3,Wednesday
2022-03-31,148,2022,3,Thursday
2022-04-01,85,2022,4,Friday
2022-04-02,170,2022,4,Saturday
2022-04-03,175,2022,4,Sunday
2022-04-04,159,2022,4,Monday
2022-04-05,135,2022,4,Tuesday
2022-04-06,78,2022,4,Wednesday
2022-04-07,86,2022,4,Thursday
2022-04-08,93,2022,4,Friday
2022-04-09,89,2022,4,Saturday
2022-04-10,97,2022,4,Sunday
2022-04-11,89,2022,4,Monday
2022-04-12,85,2022,4,Tuesday
2022-04-13,61,2022,4,Wednesday
2022-04-14,138,2022,4,Thursday
2022-04-15,177,2022,4,Friday
2022-04-16,188,2022,4,Saturday
2022-04-17,83,2022,4,Sunday
2022-04-18,227,2022,4,Monday
2022-04-19,84,2022,4,Tuesday
2022-04-20,77,2022,4,Wednesday
2022-04-21,113,2022,4,Thursday
2022-04-22,54,2022,4,Friday
2022-04-23,143,2022,4,Saturday
2022-04-24,124,2022,4,Sunday
2022-04-25,242,2022,4,Monday
2022-04-26,77,2022,4,Tuesday
2022-04-27,75,2022,4,Wednesday
2022-04-28,138,2022,4,Thursday
2022-04-29,74,2022,4,Friday
2022-04-30,63,2022,4,Saturday
2022-05-01,42,2022,5,Sunday
2022-05-02,57,2022,5,Monday
2022-05-03,160,2022,5,Tuesday
2022-05-04,119,2022,5,Wednesday
2022-05-05,157,2022,5,Thursday
2022-05-06,108,2022,5,Friday
2022-05-07,118,2022,5,Saturday
2022-05-08,207,2022,5,Sunday
2022-05-09,106,2022,5,Monday
2022-05-10,44,2022,5,Tuesday
2022-05-11,53,2022,5,Wednesday
2022-05-12,113,2022,5,Thursday
2022-05-13,116,2022,5,Friday
2022-05-14,54,2022,5,Saturday
2022-05-15,133,2022,5,Sunday
2022-05-16,57,2022,5,Monday
2022-05-17,173,2022,5,Tuesday
2022-05-18,136,2022,5,Wednesday
2022-05-19,42,2022,5,Thursday
2022-05-20,196,2022,5,Friday
2022-05-21,95,2022,5,Saturday
2022-05-22,120,2022,5,Sunday
2022-05-23,185,2022,5,Monday
2022-05-24,93,2022,5,Tuesday
2022-05-25,203,2022,5,Wednesday
2022-05-26,139,2022,5,Thursday
2022-05-27,119,2022,5,Friday
2022-05-28,88,2022,5,Saturday
2022-05-29,53,2022,5,Sunday
2022-05-30,102,2022,5,Monday
2022-05-31,46,2022,5,Tuesday
2022-06-01,131,2022,6,Wednesday
2022-06-02,52,2022,6,Thursday
2022-06-03,112,2022,6,Friday
2022-06-04,96,2022,6,Saturday
2022-06-05,131,2022,6,Sunday
2022-06-06,91,2022,6,Monday
2022-06-07,75,2022,6,Tuesday
2022-06-08,105,2022,6,Wednesday
2022-06-09,93,2022,6,Thursday
2022-06-10,51,2022,6,Friday
2022-06-11,64,2022,6,Saturday
2022-06-12,45,2022,6,Sunday
2022-06-13,73,2022,6,Monday
2022-06-14,132,2022,6,Tuesday
2022-06-15,82,2022,6,Wednesday
2022-06-16,107,2022,6,Thursday
2022-06-17,48,2022,6,Friday
2022-06-18,102,2022,6,Saturday
2022-06-19,75,2022,6,Sunday
2022-06-20,67,2022,6,Monday
2022-06-21,53,2022,6,Tuesday
2022-06-22,53,2022,6,Wednesday
2022-06-23,152,2022,6,Thursday
2022-06-24,112,2022,6,Friday
2022-06-25,178,2022,6,Saturday
2022-06-26,210,2022,6,Sunday
2022-06-27,135,2022,6,Monday
2022-06-28,108,2022,6,Tuesday
2022-06-29,42,2022,6,Wednesday
2022-06-30,38,2022,6,Thursday
2022-07-01,40,2022,7,Friday
2022-07-02,33,2022,7,Saturday
2022-07-03,71,2022,7,Sunday
2022-07-04,28,2022,7,Monday
2022-07-05,133,2022,7,Tuesday
2022-07-06,61,2022,7,Wednesday
2022-07-07,71,2022,7,Thursday
2022-07-08,17,2022,7,Friday
2022-07-09,33,2022,7,Saturday
2022-07-10,25,2022,7,Sunday
2022-07-11,41,2022,7,Monday
2022-07-12,93,2022,7,Tuesday
2022-07-13,85,2022,7,Wednesday
2022-07-14,140,2022,7,Thursday
2022-07-15,109,2022,7,Friday
2022-07-16,128,2022,7,Saturday
2022-07-17,33,2022,7,Sunday
2022-07-18,92,2022,7,Monday
2022-07-19,83,2022,7,Tuesday
2022-07-20,45,2022,7,Wednesday
2022-07-21,26,2022,7,Thursday
2022-07-22,26,2022,7,Friday
2022-07-23,127,2022,7,Saturday
2022-07-24,102,2022,7,Sunday
2022-07-25,111,2022,7,Monday
2022-07-26,77,2022,7,Tuesday
2022-07-27,92,2022,7,Wednesday
2022-07-28,140,2022,7,Thursday
2022-07-29,97,2022,7,Friday
2022-07-30,67,2022,7,Saturday
2022-07-31,104,2022,7,Sunday
2022-08-01,49,2022,8,Monday
2022-08-02,89,2022,8,Tuesday
2022-08-03,38,2022,8,Wednesday
2022-08-04,46,2022,8,Thursday
2022-08-05,99,2022,8,Friday
2022-08-06,32,2022,8,Saturday
2022-08-07,99,2022,8,Sunday
2022-08-08,144,2022,8,Monday
2022-08-09,42,2022,8,Tuesday
2022-08-10,53,2022,8,Wednesday
2022-08-11,122,2022,8,Thursday
2022-08-12,63,2022,8,Friday
2022-08-13,92,2022,8,Saturday
2022-08-14,42,2022,8,Sunday
2022-08-15,63,2022,8,Monday
2022-08-16,109,2022,8,Tuesday
2022-08-17,99,2022,8,Wednesday
2022-08-18,80,2022,8,Thursday
2022-08-19,66,2022,8,Friday
2022-08-20,187,2022,8,Saturday
2022-08-21,97,2022,8,Sunday
2022-08-22,95,2022,8,Monday
2022-08-23,83,2022,8,Tuesday
2022-08-24,327,2022,8,Wednesday
2022-08-25,67,2022,8,Thursday
2022-08-26,46,2022,8,Friday
2022-08-27,40,2022,8,Saturday
2022-08-28,62,2022,8,Sunday
2022-08-29,101,2022,8,Monday
2022-08-30,66,2022,8,Tuesday
2022-08-31,102,2022,8,Wednesday
2022-09-01,66,2022,9,Thursday
2022-09-02,119,2022,9,Friday
2022-09-03,74,2022,9,Saturday
2022-09-04,96,2022,9,Sunday
2022-09-05,83,2022,9,Monday
2022-09-06,99,2022,9,Tuesday
2022-09-07,95,2022,9,Wednesday
2022-09-08,57,2022,9,Thursday
2022-09-09,56,2022,9,Friday
2022-09-10,67,2022,9,Saturday
2022-09-11,177,2022,9,Sunday
2022-09-12,66,2022,9,Monday
2022-09-13,68,2022,9,Tuesday
2022-09-14,95,2022,9,Wednesday
2022-09-15,149,2022,9,Thursday
2022-09-16,82,2022,9,Friday
2022-09-17,91,2022,9,Saturday
2022-09-18,45,2022,9,Sunday
2022-09-19,62,2022,9,Monday
2022-09-20,63,2022,9,Tuesday
2022-09-21,80,2022,9,Wednesday
2022-09-22,150,2022,9,Thursday
2022-09-23,66,2022,9,Friday
2022-09-24,72,2022,9,Saturday
2022-09-25,77,2022,9,Sunday
2022-09-26,78,2022,9,Monday
2022-09-27,53,2022,9,Tuesday
2022-09-28,58,2022,9,Wednesday
2022-09-29,87,2022,9,Thursday
2022-09-30,117,2022,9,Friday
2022-10-01,102,2022,10,Saturday
2022-10-02,59,2022,10,Sunday
2022-10-03,107,2022,10,Monday
2022-10-04,106,2022,10,Tuesday
2022-10-05,79,2022,10,Wednesday
2022-10-06,128,2022,10,Thursday
2022-10-07,61,2022,10,Friday
2022-10-08,72,2022,10,Saturday
2022-10-09,139,2022,10,Sunday
2022-10-10,199,2022,10,Monday
2022-10-11,192,2022,10,Tuesday
2022-10-12,132,2022,10,Wednesday
2022-10-13,131,2022,10,Thursday
2022-10-14,70,2022,10,Friday
2022-10-15,102,2022,10,Saturday
2022-10-16,131,2022,10,Sunday
2022-10-17,236,2022,10,Monday
2022-10-18,169,2022,10,Tuesday
2022-10-19,125,2022,10,Wednesday
2022-10-20,88,2022,10,Thursday
2022-10-21,112,2022,10,Friday
2022-10-22,203,2022,10,Saturday
2022-10-23,54,2022,10,Sunday
2022-10-24,88,2022,10,Monday
2022-10-25,48,2022,10,Tuesday
2022-10-26,241,2022,10,Wednesday
2022-10-27,145,2022,10,Thursday
2022-10-28,41,2022,10,Friday
2022-10-29,103,2022,10,Saturday
2022-10-30,34,2022,10,Sunday
2022-10-31,158,2022,10,Monday
2022-11-01,110,2022,11,Tuesday
2022-11-02,83,2022,11,Wednesday
2022-11-03,54,2022,11,Thursday
2022-11-04,128,2022,11,Friday
2022-11-05,109,2022,11,Saturday
2022-11-06,32,2022,11,Sunday
2022-11-07,73,2022,11,Monday
2022-11-08,77,2022,11,Tuesday
2022-11-09,98,2022,11,Wednesday
2022-11-10,59,2022,11,Thursday
2022-11-11,71,2022,11,Friday
2022-11-12,99,2022,11,Saturday
2022-11-13,145,2022,11,Sunday
2022-11-14,49,2022,11,Monday
2022-11-15,174,2022,11,Tuesday
2022-11-16,92,2022,11,Wednesday
2022-11-17,110,2022,11,Thursday
2022-11-18,16,2022,11,Friday
2022-11-19,33,2022,11,Saturday
2022-11-20,60,2022,11,Sunday
2022-11-21,20,2022,11,Monday
2022-11-22,18,2022,11,Tuesday
2022-11-23,110,2022,11,Wednesday
2022-11-24,18,2022,11,Thursday
2022-11-25,19,2022,11,Friday
2022-11-26,28,2022,11,Saturday
2022-11-27,25,2022,11,Sunday
2022-11-28,35,2022,11,Monday
2022-11-29,65,2022,11,Tuesday
2022-11-30,46,2022,11,Wednesday
2022-12-01,66,2022,12,Thursday
2022-12-02,32,2022,12,Friday
2022-12-03,73,2022,12,Saturday
2022-12-04,48,2022,12,Sunday
2022-12-05,128,2022,12,Monday
2022-12-06,45,2022,12,Tuesday
2022-12-07,79,2022,12,Wednesday
2022-12-08,68,2022,12,Thursday
2022-12-09,44,2022,12,Friday
2022-12-10,38,2022,12,Saturday
2022-12-11,53,2022,12,Sunday
2022-12-12,30,2022,12,Monday
2022-12-13,69,2022,12,Tuesday
2022-12-14,56,2022,12,Wednesday
2022-12-15,38,2022,12,Thursday
2022-12-16,147,2022,12,Friday
2022-12-17,117,2022,12,Saturday
2022-12-18,33,2022,12,Sunday
2022-12-19,80,2022,12,Monday
2022-12-20,26,2022,12,Tuesday
2022-12-21,107,2022,12,Wednesday
2022-12-22,71,2022,12,Thursday
2022-12-23,65,2022,12,Friday
2022-12-24,50,2022,12,Saturday
2022-12-25,163,2022,12,Sunday
2022-12-26,19,2022,12,Monday
2022-12-27,97,2022,12,Tuesday
2022-12-28,125,2022,12,Wednesday
2022-12-29,146,2022,12,Thursday
2022-12-30,96,2022,12,Friday
2022-12-31,142,2022,12,Saturday
2023-01-01,128,2023,1,Sunday
2023-01-02,97,2023,1,Monday
2023-01-03,38,2023,1,Tuesday
2023-01-04,119,2023,1,Wednesday
2023-01-05,31,2023,1,Thursday
2023-01-06,117,2023,1,Friday
2023-01-07,56,2023,1,Saturday
2023-01-08,34,2023,1,Sunday
2023-01-09,45,2023,1,Monday
2023-01-10,30,2023,1,Tuesday
2023-01-11,37,2023,1,Wednesday
2023-01-12,32,2023,1,Thursday
2023-01-13,28,2023,1,Friday
2023-01-14,149,2023,1,Saturday
2023-01-15,31,2023,1,Sunday
2023-01-16,43,2023,1,Monday
2023-01-17,32,2023,1,Tuesday
2023-01-18,31,2023,1,Wednesday
2023-01-19,84,2023,1,Thursday
2023-01-20,117,2023,1,Friday
2023-01-21,19,2023,1,Saturday
2023-01-22,42,2023,1,Sunday
2023-01-23,31,2023,1,Monday
2023-01-24,90,2023,1,Tuesday
2023-01-25,175,2023,1,Wednesday
2023-01-26,234,2023,1,Thursday
2023-01-27,67,2023,1,Friday
2023-01-28,68,2023,1,Saturday
2023-01-29,43,2023,1,Sunday
2023-01-30,55,2023,1,Monday
2023-01-31,130,2023,1,Tuesday
2023-02-01,41,2023,2,Wednesday
2023-02-02,38,2023,2,Thursday
2023-02-03,147,2023,2,Friday
2023-02-04,111,2023,2,Saturday
2023-02-05,51,2023,2,Sunday
2023-02-06,41,2023,2,Monday
2023-02-07,51,2023,2,Tuesday
2023-02-08,68,2023,2,Wednesday
2023-02-09,83,2023,2,Thursday
2023-02-10,307,2023,2,Friday
2023-02-11,61,2023,2,Saturday
2023-02-12,24,2023,2,Sunday
2023-02-13,31,2023,2,Monday
2023-02-14,72,2023,2,Tuesday
2023-02-15,42,2023,2,Wednesday
2023-02-16,141,2023,2,Thursday
2023-02-17,168,2023,2,Friday
2023-02-18,82,2023,2,Saturday
2023-02-19,69,2023,2,Sunday
2023-02-20,118,2023,2,Monday
2023-02-21,32,2023,2,Tuesday
2023-02-22,101,2023,2,Wednesday
2023-02-23,75,2023,2,Thursday
2023-02-24,65,2023,2,Friday
2023-02-25,129,2023,2,Saturday
2023-02-26,43,2023,2,Sunday
2023-02-27,129,2023,2,Monday
2023-02-28,60,2023,2,Tuesday
2023-03-01,86,2023,3,Wednesday
