date,oblast,alert_hours,year,month,weekday
2022-03-15,Cherkaska oblast,2,2022,3,Tuesday
2022-03-15,Chernihivska oblast,2,2022,3,Tuesday
2022-03-15,Chernivetska oblast,0,2022,3,Tuesday
2022-03-15,Dnipropetrovska oblast,1,2022,3,Tuesday
2022-03-15,Donetska oblast,3,2022,3,Tuesday
2022-03-15,Ivano-Frankivska oblast,2,2022,3,Tuesday
2022-03-15,Kharkivska oblast,0,2022,3,Tuesday
2022-03-15,Khersonska oblast,0,2022,3,Tuesday
2022-03-15,Khmelnytska oblast,2,2022,3,Tuesday
2022-03-15,Kirovohradska oblast,2,2022,3,Tuesday
2022-03-15,Kyiv City,3,2022,3,Tuesday
2022-03-15,Kyivska oblast,4,2022,3,Tuesday
2022-03-15,Lvivska oblast,2,2022,3,Tuesday
2022-03-15,Mykolaivska oblast,1,2022,3,Tuesday
2022-03-15,Odeska oblast,0,2022,3,Tuesday
2022-03-15,Poltavska oblast,1,2022,3,Tuesday
2022-03-15,Rivnenska oblast,2,2022,3,Tuesday
2022-03-15,Sumska oblast,3,2022,3,Tuesday
2022-03-15,Ternopilska oblast,2,2022,3,Tuesday
2022-03-15,Vinnytska oblast,3,2022,3,Tuesday
2022-03-15,Volynska oblast,2,2022,3,Tuesday
2022-03-15,Zakarpatska oblast,0,2022,3,Tuesday
2022-03-15,Zaporizka oblast,0,2022,3,Tuesday
2022-03-15,Zhytomyrska oblast,5,2022,3,Tuesday
2022-03-16,Cherkaska oblast,13,2022,3,Wednesday
2022-03-16,Chernihivska oblast,16,2022,3,Wednesday
2022-03-16,Chernivetska oblast,0,2022,3,Wednesday
2022-03-16,Dnipropetrovska oblast,12,2022,3,Wednesday
2022-03-16,Donetska oblast,3,2022,3,Wednesday
2022-03-16,Ivano-Frankivska oblast,4,2022,3,Wednesday
2022-03-16,Kharkivska oblast,12,2022,3,Wednesday
2022-03-16,Khersonska oblast,0,2022,3,Wednesday
2022-03-16,Khmelnytska oblast,11,2022,3,Wednesday
2022-03-16,Kirovohradska oblast,9,2022,3,Wednesday
2022-03-16,Kyiv City,20,2022,3,Wednesday
2022-03-16,Kyivska oblast,23,2022,3,Wednesday
2022-03-16,Lvivska oblast,4,2022,3,Wednesday
2022-03-16,Mykolaivska oblast,6,2022,3,Wednesday
2022-03-16,Odeska oblast,7,2022,3,Wednesday
2022-03-16,Poltavska oblast,13,2022,3,Wednesday
2022-03-16,Rivnenska oblast,8,2022,3,Wednesday
2022-03-16,Sumska oblast,10,2022,3,Wednesday
2022-03-16,Ternopilska oblast,7,2022,3,Wednesday
2022-03-16,Vinnytska oblast,10,2022,3,Wednesday
2022-03-16,Volynska oblast,7,2022,3,Wednesday
2022-03-16,Zakarpatska oblast,0,2022,3,Wednesday
2022-03-16,Zaporizka oblast,3,2022,3,Wednesday
2022-03-16,Zhytomyrska oblast,19,2022,3,Wednesday
2022-03-17,Cherkaska oblast,4,2022,3,Thursday
2022-03-17,Chernihivska oblast,24,2022,3,Thursday
2022-03-17,Chernivetska oblast,2,2022,3,Thursday
2022-03-17,Dnipropetrovska oblast,6,2022,3,Thursday
2022-03-17,Donetska oblast,5,2022,3,Thursday
2022-03-17,Ivano-Frankivska oblast,2,2022,3,Thursday
2022-03-17,Kharkivska oblast,8,2022,3,Thursday
2022-03-17,Khersonska oblast,0,2022,3,Thursday
2022-03-17,Khmelnytska oblast,2,2022,3,Thursday
2022-03-17,Kirovohradska oblast,5,2022,3,Thursday
2022-03-17,Kyiv City,12,2022,3,Thursday
2022-03-17,Kyivska oblast,9,2022,3,Thursday
2022-03-17,Lvivska oblast,1,2022,3,Thursday
2022-03-17,Mykolaivska oblast,4,2022,3,Thursday
2022-03-17,Odeska oblast,3,2022,3,Thursday
2022-03-17,Poltavska oblast,8,2022,3,Thursday
2022-03-17,Rivnenska oblast,3,2022,3,Thursday
2022-03-17,Sumska oblast,8,2022,3,Thursday
2022-03-17,Ternopilska oblast,2,2022,3,Thursday
2022-03-17,Vinnytska oblast,9,2022,3,Thursday
2022-03-17,Volynska oblast,3,2022,3,Thursday
2022-03-17,Zakarpatska oblast,2,2022,3,Thursday
2022-03-17,Zaporizka oblast,8,2022,3,Thursday
2022-03-17,Zhytomyrska oblast,16,2022,3,Thursday
2022-03-18,Cherkaska oblast,8,2022,3,Friday
2022-03-18,Chernihivska oblast,9,2022,3,Friday
2022-03-18,Chernivetska oblast,0,2022,3,Friday
2022-03-18,Dnipropetrovska oblast,11,2022,3,Friday
2022-03-18,Donetska oblast,10,2022,3,Friday
2022-03-18,Ivano-Frankivska oblast,1,2022,3,Friday
2022-03-18,Kharkivska oblast,16,2022,3,Friday
2022-03-18,Khersonska oblast,0,2022,3,Friday
2022-03-18,Khmelnytska oblast,3,2022,3,Friday
2022-03-18,Kirovohradska oblast,4,2022,3,Friday
2022-03-18,Kyiv City,13,2022,3,Friday
2022-03-18,Kyivska oblast,15,2022,3,Friday
2022-03-18,Lvivska oblast,1,2022,3,Friday
2022-03-18,Mykolaivska oblast,6,2022,3,Friday
2022-03-18,Odeska oblast,2,2022,3,Friday
2022-03-18,Poltavska oblast,8,2022,3,Friday
2022-03-18,Rivnenska oblast,2,2022,3,Friday
2022-03-18,Sumska oblast,3,2022,3,Friday
2022-03-18,Ternopilska oblast,3,2022,3,Friday
2022-03-18,Vinnytska oblast,6,2022,3,Friday
2022-03-18,Volynska oblast,2,2022,3,Friday
2022-03-18,Zakarpatska oblast,0,2022,3,Friday
2022-03-18,Zaporizka oblast,7,2022,3,Friday
2022-03-18,Zhytomyrska oblast,15,2022,3,Friday
2022-03-19,Cherkaska oblast,3,2022,3,Saturday
2022-03-19,Chernihivska oblast,20,2022,3,Saturday
2022-03-19,Chernivetska oblast,0,2022,3,Saturday
2022-03-19,Dnipropetrovska oblast,6,2022,3,Saturday
2022-03-19,Donetska oblast,5,2022,3,Saturday
2022-03-19,Ivano-Frankivska oblast,3,2022,3,Saturday
2022-03-19,Kharkivska oblast,9,2022,3,Saturday
2022-03-19,Khersonska oblast,0,2022,3,Saturday
2022-03-19,Khmelnytska oblast,5,2022,3,Saturday
2022-03-19,Kirovohradska oblast,0,2022,3,Saturday
2022-03-19,Kyiv City,9,2022,3,Saturday
2022-03-19,Kyivska oblast,7,2022,3,Saturday
2022-03-19,Lvivska oblast,3,2022,3,Saturday
2022-03-19,Mykolaivska oblast,1,2022,3,Saturday
2022-03-19,Odeska oblast,3,2022,3,Saturday
2022-03-19,Poltavska oblast,5,2022,3,Saturday
2022-03-19,Rivnenska oblast,5,2022,3,Saturday
2022-03-19,Sumska oblast,0,2022,3,Saturday
2022-03-19,Ternopilska oblast,5,2022,3,Saturday
2022-03-19,Vinnytska oblast,2,2022,3,Saturday
2022-03-19,Volynska oblast,5,2022,3,Saturday
2022-03-19,Zakarpatska oblast,0,2022,3,Saturday
2022-03-19,Zaporizka oblast,4,2022,3,Saturday
2022-03-19,Zhytomyrska oblast,10,2022,3,Saturday
2022-03-20,Cherkaska oblast,5,2022,3,Sunday
2022-03-20,Chernihivska oblast,14,2022,3,Sunday
2022-03-20,Chernivetska oblast,0,2022,3,Sunday
2022-03-20,Dnipropetrovska oblast,6,2022,3,Sunday
2022-03-20,Donetska oblast,0,2022,3,Sunday
2022-03-20,Ivano-Frankivska oblast,2,2022,3,Sunday
2022-03-20,Kharkivska oblast,9,2022,3,Sunday
