geojson_name,dataset_name
Cherkasy Oblast,Cherkaska oblast
Chernihiv Oblast,Chernihivska oblast
Chernivtsi Oblast,Chernivetska oblast
Dnipropetrovsk Oblast,Dnipropetrovska oblast
Donetsk Oblast,Donetska oblast
Ivano-Frankivsk Oblast,Ivano-Frankivska oblast
Kharkiv Oblast,Kharkivska oblast
Kherson Oblast,Khersonska oblast
Khmelnytskyi Oblast,Khmelnytska oblast
Kirovohrad Oblast,Kirovohradska oblast
Kyiv,Kyiv City
Kyiv Oblast,Kyivska oblast
Lviv Oblast,Lvivska oblast
Mykolaiv Oblast,Mykolaivska oblast
Odessa Oblast,Odeska oblast
Poltava Oblast,Poltavska oblast
Rivne Oblast,Rivnenska oblast
Sumy Oblast,Sumska oblast
Ternopil Oblast,Ternopilska oblast
Vinnytsia Oblast,Vinnytska oblast
Volyn Oblast,Volynska oblast
Zakarpattia Oblast,Zakarpatska oblast
Zaporizhia Oblast,Zaporizka oblast
Zhytomyr Oblast,Zhytomyrska oblast
Luhansk Oblast,Luhanska oblast
Autonomous Republic of Crimea,Crimea
Sevastopol,Sevastopol
