oblast,month,avg_alert_hours_per_day,days_observed
Cherkaska oblast,1,5.129032258064516,124
Cherkaska oblast,2,5.345132743362832,113
Cherkaska oblast,3,5.184397163120567,141
Cherkaska oblast,4,4.206666666666667,150
Cherkaska oblast,5,5.361290322580645,155
Cherkaska oblast,6,4.4071428571428575,140
Cherkaska oblast,7,4.403225806451613,124
Cherkaska oblast,8,4.475806451612903,124
Cherkaska oblast,9,4.55,120
Cherkaska oblast,10,5.524193548387097,124
Cherkaska oblast,11,4.983333333333333,120
Cherkaska oblast,12,4.846774193548387,124
Chernihivska oblast,1,9.298387096774194,124
Chernihivska oblast,2,8.194690265486726,113
Chernihivska oblast,3,9.53191489361702,141
Chernihivska oblast,4,7.266666666666667,150
Chernihivska oblast,5,8.025806451612903,155
Chernihivska oblast,6,6.942857142857143,140
Chernihivska oblast,7,4.911290322580645,124
Chernihivska oblast,8,6.991935483870968,124
Chernihivska oblast,9,8.441666666666666,120
Chernihivska oblast,10,9.03225806451613,124
Chernihivska oblast,11,8.241666666666667,120
Chernihivska oblast,12,7.717741935483871,124
Chernivetska oblast,1,1.1209677419354838,124
Chernivetska oblast,2,1.0,113
Chernivetska oblast,3,1.24822695035461,141
Chernivetska oblast,4,1.0933333333333333,150
Chernivetska oblast,5,1.3870967741935485,155
Chernivetska oblast,6,1.3642857142857143,140
Chernivetska oblast,7,1.185483870967742,124
Chernivetska oblast,8,1.2580645161290323,124
Chernivetska oblast,9,0.8,120
Chernivetska oblast,10,1.0080645161290323,124
Chernivetska oblast,11,1.1833333333333333,120
Chernivetska oblast,12,1.2741935483870968,124
Dnipropetrovska oblast,1,21.330645161290324,124
Dnipropetrovska oblast,2,21.557522123893804,113
Dnipropetrovska oblast,3,19.98581560283688,141
Dnipropetrovska oblast,4,18.433333333333334,150
Dnipropetrovska oblast,5,18.870967741935484,155
Dnipropetrovska oblast,6,17.5,140
Dnipropetrovska oblast,7,17.637096774193548,124
Dnipropetrovska oblast,8,19.45967741935484,124
Dnipropetrovska oblast,9,19.841666666666665,120
Dnipropetrovska oblast,10,20.693548387096776,124
Dnipropetrovska oblast,11,20.425,120
Dnipropetrovska oblast,12,21.112903225806452,124
Donetska oblast,1,14.419354838709678,124
Donetska oblast,2,16.716814159292035,113
Donetska oblast,3,17.48936170212766,141
Donetska oblast,4,16.913333333333334,150
Donetska oblast,5,18.225806451612904,155
Donetska oblast,6,17.37857142857143,140
Donetska oblast,7,16.451612903225808,124
Donetska oblast,8,16.45967741935484,124
Donetska oblast,9,15.791666666666666,120
Donetska oblast,10,15.209677419354838,124
Donetska oblast,11,14.016666666666667,120
Donetska oblast,12,13.201612903225806,124
Ivano-Frankivska oblast,1,0.9758064516129032,124
Ivano-Frankivska oblast,2,0.9557522123893806,113
Ivano-Frankivska oblast,3,1.2907801418439717,141
Ivano-Frankivska oblast,4,1.12,150
Ivano-Frankivska oblast,5,1.3161290322580645,155
Ivano-Frankivska oblast,6,1.1928571428571428,140
Ivano-Frankivska oblast,7,1.2016129032258065,124
Ivano-Frankivska oblast,8,1.2096774193548387,124
Ivano-Frankivska oblast,9,0.6916666666666667,120
Ivano-Frankivska oblast,10,0.9112903225806451,124
Ivano-Frankivska oblast,11,1.0916666666666666,120
Ivano-Frankivska oblast,12,1.1451612903225807,124
Kharkivska oblast,1,15.64516129032258,124
Kharkivska oblast,2,16.398230088495577,113
Kharkivska oblast,3,16.72340425531915,141
Kharkivska oblast,4,14.8,150
Kharkivska oblast,5,17.516129032258064,155
Kharkivska oblast,6,17.521428571428572,140
Kharkivska oblast,7,16.177419354838708,124
Kharkivska oblast,8,16.032258064516128,124
Kharkivska oblast,9,16.133333333333333,120
Kharkivska oblast,10,16.161290322580644,124
Kharkivska oblast,11,15.566666666666666,120
Kharkivska oblast,12,15.580645161290322,124
Khersonska oblast,1,6.838709677419355,124
Khersonska oblast,2,7.6902654867256635,113
Khersonska oblast,3,6.595744680851064,141
Khersonska oblast,4,4.973333333333334,150
Khersonska oblast,5,5.496774193548387,155
Khersonska oblast,6,5.242857142857143,140
Khersonska oblast,7,4.919354838709677,124
Khersonska oblast,8,4.82258064516129,124
Khersonska oblast,9,6.616666666666666,120
Khersonska oblast,10,7.540322580645161,124
Khersonska oblast,11,7.116666666666666,120
Khersonska oblast,12,6.733870967741935,124
Khmelnytska oblast,1,1.9596774193548387,124
Khmelnytska oblast,2,1.6902654867256637,113
Khmelnytska oblast,3,2.141843971631206,141
Khmelnytska oblast,4,1.56,150
Khmelnytska oblast,5,1.967741935483871,155
Khmelnytska oblast,6,1.6785714285714286,140
Khmelnytska oblast,7,1.653225806451613,124
Khmelnytska oblast,8,1.7741935483870968,124
Khmelnytska oblast,9,1.45,120
Khmelnytska oblast,10,1.967741935483871,124
Khmelnytska oblast,11,2.125,120
Khmelnytska oblast,12,2.1774193548387095,124
Kirovohradska oblast,1,6.362903225806452,124
Kirovohradska oblast,2,6.20353982300885,113
Kirovohradska oblast,3,6.297872340425532,141
Kirovohradska oblast,4,4.786666666666667,150
Kirovohradska oblast,5,5.896774193548387,155
Kirovohradska oblast,6,5.178571428571429,140
Kirovohradska oblast,7,5.25,124
Kirovohradska oblast,8,5.088709677419355,124
Kirovohradska oblast,9,5.475,120
Kirovohradska oblast,10,5.983870967741935,124
Kirovohradska oblast,11,5.158333333333333,120
Kirovohradska oblast,12,5.580645161290323,124
Kyiv City,1,2.806451612903226,124
Kyiv City,2,3.0265486725663715,113
Kyiv City,3,3.765957446808511,141
Kyiv City,4,2.34,150
Kyiv City,5,3.238709677419355,155
Kyiv City,6,2.742857142857143,140
Kyiv City,7,2.556451612903226,124
Kyiv City,8,2.8548387096774195,124
Kyiv City,9,2.2666666666666666,120
Kyiv City,10,3.0,124
Kyiv City,11,2.975,120
Kyiv City,12,2.475806451612903,124
Kyivska oblast,1,5.951612903225806,124
Kyivska oblast,2,4.902654867256637,113
Kyivska oblast,3,5.283687943262412,141
Kyivska oblast,4,3.58,150
Kyivska oblast,5,5.167741935483871,155
Kyivska oblast,6,4.185714285714286,140
Kyivska oblast,7,3.7096774193548385,124
Kyivska oblast,8,4.346774193548387,124
Kyivska oblast,9,4.475,120
Kyivska oblast,10,4.830645161290323,124
Kyivska oblast,11,4.808333333333334,120
Kyivska oblast,12,5.241935483870968,124
Lvivska oblast,1,1.064516129032258,124
Lvivska oblast,2,0.9911504424778761,113
Lvivska oblast,3,1.3404255319148937,141
Lvivska oblast,4,1.1333333333333333,150
Lvivska oblast,5,1.2580645161290323,155
Lvivska oblast,6,1.1857142857142857,140
Lvivska oblast,7,1.2258064516129032,124
Lvivska oblast,8,1.1693548387096775,124
Lvivska oblast,9,0.725,120
Lvivska oblast,10,0.8870967741935484,124
Lvivska oblast,11,1.0416666666666667,120
Lvivska oblast,12,1.1209677419354838,124
Mykolaivska oblast,1,6.330645161290323,124
Mykolaivska oblast,2,6.654867256637168,113
Mykolaivska oblast,3,6.546099290780142,141
Mykolaivska oblast,4,5.54,150
Mykolaivska oblast,5,6.387096774193548,155
Mykolaivska oblast,6,6.3,140
Mykolaivska oblast,7,6.17741935483871,124
Mykolaivska oblast,8,5.709677419354839,124
Mykolaivska oblast,9,6.958333333333333,120
Mykolaivska oblast,10,7.17741935483871,124
Mykolaivska oblast,11,6.225,120
Mykolaivska oblast,12,6.193548387096774,124
Odeska oblast,1,3.3870967741935485,124
Odeska oblast,2,3.9911504424778763,113
Odeska oblast,3,5.156028368794326,141
Odeska oblast,4,4.3,150
Odeska oblast,5,4.32258064516129,155
Odeska oblast,6,4.671428571428572,140
Odeska oblast,7,3.8548387096774195,124
Odeska oblast,8,3.056451612903226,124
Odeska oblast,9,4.008333333333334,120
Odeska oblast,10,3.9274193548387095,124
Odeska oblast,11,4.283333333333333,120
Odeska oblast,12,5.17741935483871,124
Poltavska oblast,1,8.14516129032258,124
Poltavska oblast,2,8.43362831858407,113
Poltavska oblast,3,9.28368794326241,141
Poltavska oblast,4,7.453333333333333,150
Poltavska oblast,5,8.716129032258065,155
