oblast,2022,2023,2024,2025,2026
Cherkaska oblast,4.12,2.69,5.92,6.39,5.23
Chernihivska oblast,3.4,2.94,6.28,12.69,19.23
Chernivetska oblast,1.48,1.26,1.31,0.81,0.89
Dnipropetrovska oblast,11.5,16.4,23.19,23.96,23.86
Donetska oblast,8.58,11.65,18.27,21.14,23.14
Ivano-Frankivska oblast,1.64,1.12,1.17,0.77,0.7
Kharkivska oblast,8.74,7.7,19.91,24.0,22.59
Khersonska oblast,2.24,5.99,7.26,6.27,10.64
Khmelnytska oblast,1.91,1.7,2.36,1.63,1.4
Kirovohradska oblast,4.61,3.88,6.98,6.39,6.32
Kyiv City,3.44,1.88,2.82,3.4,2.76
Kyivska oblast,3.5,2.21,5.1,6.61,7.11
Lvivska oblast,1.62,1.13,1.12,0.81,0.74
Mykolaivska oblast,6.83,4.65,6.81,5.75,9.33
Odeska oblast,3.55,2.5,4.23,4.76,7.67
Poltavska oblast,4.97,4.66,9.51,10.36,11.46
Rivnenska oblast,1.88,1.32,1.57,1.28,1.96
Sumska oblast,3.71,4.89,11.98,19.76,21.57
Ternopilska oblast,1.82,1.32,1.37,0.95,0.85
Vinnytska oblast,2.78,2.05,3.07,2.53,2.09
Volynska oblast,1.87,1.14,1.1,0.92,1.09
Zakarpatska oblast,1.46,1.04,0.95,0.99,0.59
Zaporizka oblast,7.44,10.36,9.98,12.31,21.69
Zhytomyrska oblast,3.11,1.71,3.21,3.39,4.15
